id,priority,area,task,done
1,P0,Contacto,Implementar POST real y conectar formulario,
2,P0,Contacto,Integrar envío de email (Resend u otro) y errores en UI,
3,P0,Contacto,Anti-spam básico (rate limit o honeypot),
4,P1,Cuenta,Recuperar contraseña (email reset),
5,P1,Cuenta,Definir e implementar cambio de email,
6,P1,Cuenta,Flujo si no existe documento customers/{uid},
7,P1,Cuenta,Vincular compras invitado con cuenta (decisión + implementación),
8,P1,Cuenta,Detalle de pedidos (tracking MP comprobante etc si aplica),
9,P1,Tienda,Reemplazar alert() en checkout por UI inline o toast,
10,P1,Tienda,Checklist pruebas manuales / sandbox Mercado Pago,
11,P1,Tienda,Stock o límites por obra si el negocio lo requiere,
12,P1,Admin,Pedidos: filtros o búsqueda,
13,P1,Admin,Pedidos: export CSV,
14,P1,Admin,Clientes: acciones útiles (pedidos notas),
15,P1,Admin,Alta de admins: UI o documentación operativa clara,
16,P1,Código,Tests mínimos (contacto + checkout o carrito),
17,P1,Código,CI lint + build en PR,
18,P1,Código,Eliminar o adoptar dependencia next-auth,
19,P2,Contenido,Sustituir placeholders y copy Próximamente,
20,P2,Contenido,Revisar modo tienda cerrada en toda la superficie,
21,P2,Tienda,Mejorar enlaces en páginas pendiente/error,
22,P2,SEO,Ajustar sitemap con URLs deseadas,
23,P2,SEO,Revisar robots para rutas nuevas,
24,P2,Legal,Páginas privacidad términos y enlaces en footer,
25,P2,Legal,Cookies y texto si hay analytics,
26,P2,Ops,Checklist env vars producción vs env.example,
27,P2,Ops,Webhook MP verificado y monitoreo de logs,
28,P2,Ops,Despliegue y revisión reglas Firestore,
29,P2,Ops,Backups Firestore,
30,P2,UX técnica,error.tsx loading.tsx en rutas clave,
31,P2,UX técnica,middleware headers seguridad si aplica,
32,P2,UX técnica,Monitor errores tipo Sentry,
33,P2,UX técnica,Pasada accesibilidad,
34,P2,UX técnica,Auditoría rendimiento Lighthouse,
